driver,vehicle,speed,acceleration,weight,handling
Baby Rosalina,Baby Blooper,6,15,5,14
Baby Rosalina,Loco Moto,6,15,5,14
Baby Rosalina,Standard Kart,7,14,6,13
Baby Rosalina,Plushbuggy,7,14,6,13
Baby Rosalina,Blastronaut III,7,15,7,11
Baby Rosalina,Dread Sled,8,12,7,13
Baby Rosalina,Rally Kart,8,13,7,12
Baby Rosalina,Zoom Buggy,8,13,7,12
Baby Rosalina,Hot Rod,8,13,7,12
Baby Rosalina,Ribbit Revster,8,13,7,12
Baby Rosalina,Roadster Royale,8,13,7,12
Baby Rosalina,B Dasher,8,13,7,12
Baby Rosalina,Bumble V,8,13,7,12
Baby Rosalina,Carpet Flyer,8,13,7,12
Baby Rosalina,Cloud 9,8,13,7,12
Baby Rosalina,Funky Dorrie,8,14,8,10
Baby Rosalina,Big Horn,9,11,9,11
Baby Rosalina,Billdozer,9,11,9,11
Baby Rosalina,W-Twin Chopper,9,12,6,13
Baby Rosalina,Rallygator,9,12,10,9
Baby Rosalina,Chargin' Truck,10,10,9,11
Baby Rosalina,Tiny Titan,10,10,9,11
Baby Rosalina,Li'l Dumpy,10,10,9,11
Baby Rosalina,Mecha Trike,10,10,9,11
Baby Rosalina,Bowser Bruiser,10,10,9,11
Baby Rosalina,Reel Racer,10,11,7,12
Baby Rosalina,Lobster Roller,10,11,10,9
Baby Rosalina,Junkyard Hog,10,12,8,10
Baby Rosalina,Stellar Sled,11,9,9,11
Goomba,Standard Bike,3,18,4,15
Goomba,Cute Scoot,3,18,4,15
Goomba,Tune Thumper,3,18,4,15
Goomba,Rally Bike,4,17,4,15
Goomba,Hyper Pipe,4,17,4,15
Goomba,Fin Twin,4,17,4,15
Goomba,Dolphin Dasher,4,17,4,15
Goomba,Pipe Frame,4,17,5,14
Goomba,Mach Rocket,5,16,4,15
Goomba,R.O.B. H.O.G.,5,16,4,15
Goomba,Biddybuggy,5,16,5,14
Goomba,Baby Blooper,6,15,5,14
Goomba,Loco Moto,6,15,5,14
Goomba,Standard Kart,7,14,6,13
Goomba,Plushbuggy,7,14,6,13
Goomba,Blastronaut III,7,15,7,11
Goomba,Dread Sled,8,12,7,13
Goomba,Rally Kart,8,13,7,12
Goomba,Zoom Buggy,8,13,7,12
Goomba,Hot Rod,8,13,7,12
Goomba,Ribbit Revster,8,13,7,12
Goomba,Roadster Royale,8,13,7,12
Goomba,B Dasher,8,13,7,12
Goomba,Bumble V,8,13,7,12
Goomba,Carpet Flyer,8,13,7,12
Goomba,Cloud 9,8,13,7,12
Goomba,Funky Dorrie,8,14,8,10
Goomba,Big Horn,9,11,9,11
Goomba,Billdozer,9,11,9,11
Goomba,W-Twin Chopper,9,12,6,13
Goomba,Rallygator,9,12,10,9
Goomba,Chargin' Truck,10,10,9,11
Goomba,Tiny Titan,10,10,9,11
Goomba,Li'l Dumpy,10,10,9,11
Goomba,Mecha Trike,10,10,9,11
Goomba,Bowser Bruiser,10,10,9,11
Goomba,Reel Racer,10,11,7,12
Goomba,Lobster Roller,10,11,10,9
Goomba,Junkyard Hog,10,12,8,10
Goomba,Stellar Sled,11,9,9,11
Dry Bones,Standard Bike,3,18,4,15
Dry Bones,Cute Scoot,3,18,4,15
Dry Bones,Tune Thumper,3,18,4,15
Dry Bones,Rally Bike,4,17,4,15
Dry Bones,Hyper Pipe,4,17,4,15
Dry Bones,Fin Twin,4,17,4,15
Dry Bones,Dolphin Dasher,4,17,4,15
Dry Bones,Pipe Frame,4,17,5,14
Dry Bones,Mach Rocket,5,16,4,15
Dry Bones,R.O.B. H.O.G.,5,16,4,15
Dry Bones,Biddybuggy,5,16,5,14
Dry Bones,Baby Blooper,6,15,5,14
Dry Bones,Loco Moto,6,15,5,14
Dry Bones,Standard Kart,7,14,6,13
Dry Bones,Plushbuggy,7,14,6,13
Dry Bones,Blastronaut III,7,15,7,11
Dry Bones,Dread Sled,8,12,7,13
Dry Bones,Rally Kart,8,13,7,12
Dry Bones,Zoom Buggy,8,13,7,12
Dry Bones,Hot Rod,8,13,7,12
Dry Bones,Ribbit Revster,8,13,7,12
Dry Bones,Roadster Royale,8,13,7,12
Dry Bones,B Dasher,8,13,7,12
Dry Bones,Bumble V,8,13,7,12
Dry Bones,Carpet Flyer,8,13,7,12
Dry Bones,Cloud 9,8,13,7,12
Dry Bones,Funky Dorrie,8,14,8,10
Dry Bones,Big Horn,9,11,9,11
Dry Bones,Billdozer,9,11,9,11
Dry Bones,W-Twin Chopper,9,12,6,13
Dry Bones,Rallygator,9,12,10,9
Dry Bones,Chargin' Truck,10,10,9,11
Dry Bones,Tiny Titan,10,10,9,11
Dry Bones,Li'l Dumpy,10,10,9,11
Dry Bones,Mecha Trike,10,10,9,11
Dry Bones,Bowser Bruiser,10,10,9,11
Dry Bones,Reel Racer,10,11,7,12
Dry Bones,Lobster Roller,10,11,10,9
Dry Bones,Junkyard Hog,10,12,8,10
Dry Bones,Stellar Sled,11,9,9,11
Sidestepper,Standard Bike,3,18,4,15
Sidestepper,Cute Scoot,3,18,4,15
Sidestepper,Tune Thumper,3,18,4,15
Sidestepper,Rally Bike,4,17,4,15
Sidestepper,Hyper Pipe,4,17,4,15
Sidestepper,Fin Twin,4,17,4,15
Sidestepper,Dolphin Dasher,4,17,4,15
Sidestepper,Pipe Frame,4,17,5,14
Sidestepper,Mach Rocket,5,16,4,15
Sidestepper,R.O.B. H.O.G.,5,16,4,15
Sidestepper,Biddybuggy,5,16,5,14
Sidestepper,Baby Blooper,6,15,5,14
Sidestepper,Loco Moto,6,15,5,14
Sidestepper,Standard Kart,7,14,6,13
Sidestepper,Plushbuggy,7,14,6,13
Sidestepper,Blastronaut III,7,15,7,11
Sidestepper,Dread Sled,8,12,7,13
Sidestepper,Rally Kart,8,13,7,12
Sidestepper,Zoom Buggy,8,13,7,12
Sidestepper,Hot Rod,8,13,7,12
Sidestepper,Ribbit Revster,8,13,7,12
Sidestepper,Roadster Royale,8,13,7,12
Sidestepper,B Dasher,8,13,7,12
Sidestepper,Bumble V,8,13,7,12
Sidestepper,Carpet Flyer,8,13,7,12
Sidestepper,Cloud 9,8,13,7,12
Sidestepper,Funky Dorrie,8,14,8,10
Sidestepper,Big Horn,9,11,9,11
Sidestepper,Billdozer,9,11,9,11
Sidestepper,W-Twin Chopper,9,12,6,13
Sidestepper,Rallygator,9,12,10,9
Sidestepper,Chargin' Truck,10,10,9,11
Sidestepper,Tiny Titan,10,10,9,11
Sidestepper,Li'l Dumpy,10,10,9,11
Sidestepper,Mecha Trike,10,10,9,11
Sidestepper,Bowser Bruiser,10,10,9,11
Sidestepper,Reel Racer,10,11,7,12
Sidestepper,Lobster Roller,10,11,10,9
Sidestepper,Junkyard Hog,10,12,8,10
Sidestepper,Stellar Sled,11,9,9,11
Spike,Standard Bike,3,18,4,15
Spike,Cute Scoot,3,18,4,15
Spike,Tune Thumper,3,18,4,15
Spike,Rally Bike,4,17,4,15
Spike,Hyper Pipe,4,17,4,15
Spike,Fin Twin,4,17,4,15
Spike,Dolphin Dasher,4,17,4,15
Spike,Pipe Frame,4,17,5,14
Spike,Mach Rocket,5,16,4,15
Spike,R.O.B. H.O.G.,5,16,4,15
Spike,Biddybuggy,5,16,5,14
Spike,Baby Blooper,6,15,5,14
Spike,Loco Moto,6,15,5,14
Spike,Standard Kart,7,14,6,13
Spike,Plushbuggy,7,14,6,13
Spike,Blastronaut III,7,15,7,11
Spike,Dread Sled,8,12,7,13
Spike,Rally Kart,8,13,7,12
Spike,Zoom Buggy,8,13,7,12
Spike,Hot Rod,8,13,7,12
Spike,Ribbit Revster,8,13,7,12
Spike,Roadster Royale,8,13,7,12
Spike,B Dasher,8,13,7,12
Spike,Bumble V,8,13,7,12
Spike,Carpet Flyer,8,13,7,12
Spike,Cloud 9,8,13,7,12
Spike,Funky Dorrie,8,14,8,10
Spike,Big Horn,9,11,9,11
Spike,Billdozer,9,11,9,11
Spike,W-Twin Chopper,9,12,6,13
Spike,Rallygator,9,12,10,9
Spike,Chargin' Truck,10,10,9,11
Spike,Tiny Titan,10,10,9,11
Spike,Li'l Dumpy,10,10,9,11
Spike,Mecha Trike,10,10,9,11
Spike,Bowser Bruiser,10,10,9,11
Spike,Reel Racer,10,11,7,12
Spike,Lobster Roller,10,11,10,9
Spike,Junkyard Hog,10,12,8,10
Spike,Stellar Sled,11,9,9,11
Fish Bone,Standard Bike,3,18,4,15
Fish Bone,Cute Scoot,3,18,4,15
Fish Bone,Tune Thumper,3,18,4,15
Fish Bone,Rally Bike,4,17,4,15
Fish Bone,Hyper Pipe,4,17,4,15
Fish Bone,Fin Twin,4,17,4,15
Fish Bone,Dolphin Dasher,4,17,4,15
Fish Bone,Pipe Frame,4,17,5,14
Fish Bone,Mach Rocket,5,16,4,15
Fish Bone,R.O.B. H.O.G.,5,16,4,15
Fish Bone,Biddybuggy,5,16,5,14
Fish Bone,Baby Blooper,6,15,5,14
Fish Bone,Loco Moto,6,15,5,14
Fish Bone,Standard Kart,7,14,6,13
Fish Bone,Plushbuggy,7,14,6,13
Fish Bone,Blastronaut III,7,15,7,11
Fish Bone,Dread Sled,8,12,7,13
Fish Bone,Rally Kart,8,13,7,12
Fish Bone,Zoom Buggy,8,13,7,12
Fish Bone,Hot Rod,8,13,7,12
Fish Bone,Ribbit Revster,8,13,7,12
Fish Bone,Roadster Royale,8,13,7,12
Fish Bone,B Dasher,8,13,7,12
Fish Bone,Bumble V,8,13,7,12
Fish Bone,Carpet Flyer,8,13,7,12
Fish Bone,Cloud 9,8,13,7,12
Fish Bone,Funky Dorrie,8,14,8,10
Fish Bone,Big Horn,9,11,9,11
Fish Bone,Billdozer,9,11,9,11
Fish Bone,W-Twin Chopper,9,12,6,13
Fish Bone,Rallygator,9,12,10,9
Fish Bone,Chargin' Truck,10,10,9,11
Fish Bone,Tiny Titan,10,10,9,11
Fish Bone,Li'l Dumpy,10,10,9,11
Fish Bone,Mecha Trike,10,10,9,11
Fish Bone,Bowser Bruiser,10,10,9,11
Fish Bone,Reel Racer,10,11,7,12
Fish Bone,Lobster Roller,10,11,10,9
Fish Bone,Junkyard Hog,10,12,8,10
Fish Bone,Stellar Sled,11,9,9,11
Peepa,Standard Bike,3,18,4,15
Peepa,Cute Scoot,3,18,4,15
Peepa,Tune Thumper,3,18,4,15
Peepa,Rally Bike,4,17,4,15
Peepa,Hyper Pipe,4,17,4,15
Peepa,Fin Twin,4,17,4,15
Peepa,Dolphin Dasher,4,17,4,15
Peepa,Pipe Frame,4,17,5,14
Peepa,Mach Rocket,5,16,4,15
Peepa,R.O.B. H.O.G.,5,16,4,15
Peepa,Biddybuggy,5,16,5,14
Peepa,Baby Blooper,6,15,5,14
Peepa,Loco Moto,6,15,5,14
Peepa,Standard Kart,7,14,6,13
Peepa,Plushbuggy,7,14,6,13
Peepa,Blastronaut III,7,15,7,11
Peepa,Dread Sled,8,12,7,13
Peepa,Rally Kart,8,13,7,12
Peepa,Zoom Buggy,8,13,7,12
Peepa,Hot Rod,8,13,7,12
Peepa,Ribbit Revster,8,13,7,12
Peepa,Roadster Royale,8,13,7,12
Peepa,B Dasher,8,13,7,12
Peepa,Bumble V,8,13,7,12
Peepa,Carpet Flyer,8,13,7,12
Peepa,Cloud 9,8,13,7,12
Peepa,Funky Dorrie,8,14,8,10
Peepa,Big Horn,9,11,9,11
Peepa,Billdozer,9,11,9,11
Peepa,W-Twin Chopper,9,12,6,13
Peepa,Rallygator,9,12,10,9
Peepa,Chargin' Truck,10,10,9,11
Peepa,Tiny Titan,10,10,9,11
Peepa,Li'l Dumpy,10,10,9,11
Peepa,Mecha Trike,10,10,9,11
Peepa,Bowser Bruiser,10,10,9,11
Peepa,Reel Racer,10,11,7,12
Peepa,Lobster Roller,10,11,10,9
Peepa,Junkyard Hog,10,12,8,10
Peepa,Stellar Sled,11,9,9,11
Toad,Standard Bike,4,17,5,14
Toad,Cute Scoot,4,17,5,14
Toad,Tune Thumper,4,17,5,14
Toad,Rally Bike,5,16,5,14
Toad,Hyper Pipe,5,16,5,14
Toad,Fin Twin,5,16,5,14
Toad,Dolphin Dasher,5,16,5,14
Toad,Pipe Frame,5,16,6,13
Toad,Mach Rocket,6,15,5,14
Toad,R.O.B. H.O.G.,6,15,5,14
Toad,Biddybuggy,6,15,6,13
Toad,Baby Blooper,7,14,6,13
Toad,Loco Moto,7,14,6,13
Toad,Standard Kart,8,13,7,12
Toad,Plushbuggy,8,13,7,12
Toad,Blastronaut III,8,14,8,10
Toad,Dread Sled,9,11,8,12
Toad,Rally Kart,9,12,8,11
Toad,Zoom Buggy,9,12,8,11
Toad,Hot Rod,9,12,8,11
Toad,Ribbit Revster,9,12,8,11
Toad,Roadster Royale,9,12,8,11
Toad,B Dasher,9,12,8,11
Toad,Bumble V,9,12,8,11
Toad,Carpet Flyer,9,12,8,11
Toad,Cloud 9,9,12,8,11
Toad,Funky Dorrie,9,13,9,9
Toad,Big Horn,10,10,10,10
Toad,Billdozer,10,10,10,10
Toad,W-Twin Chopper,10,11,7,12
Toad,Rallygator,10,11,11,8
Toad,Chargin' Truck,11,9,10,10
Toad,Tiny Titan,11,9,10,10
Toad,Li'l Dumpy,11,9,10,10
Toad,Mecha Trike,11,9,10,10
Toad,Bowser Bruiser,11,9,10,10
Toad,Reel Racer,11,10,8,11
Toad,Lobster Roller,11,10,11,8
Toad,Junkyard Hog,11,11,9,9
Toad,Stellar Sled,12,8,10,10
Toadette,Standard Bike,4,17,5,14
Toadette,Cute Scoot,4,17,5,14
Toadette,Tune Thumper,4,17,5,14
Toadette,Rally Bike,5,16,5,14
Toadette,Hyper Pipe,5,16,5,14
Toadette,Fin Twin,5,16,5,14
Toadette,Dolphin Dasher,5,16,5,14
Toadette,Pipe Frame,5,16,6,13
Toadette,Mach Rocket,6,15,5,14
Toadette,R.O.B. H.O.G.,6,15,5,14
Toadette,Biddybuggy,6,15,6,13
Toadette,Baby Blooper,7,14,6,13
Toadette,Loco Moto,7,14,6,13
Toadette,Standard Kart,8,13,7,12
Toadette,Plushbuggy,8,13,7,12
Toadette,Blastronaut III,8,14,8,10
Toadette,Dread Sled,9,11,8,12
Toadette,Rally Kart,9,12,8,11
Toadette,Zoom Buggy,9,12,8,11
Toadette,Hot Rod,9,12,8,11
Toadette,Ribbit Revster,9,12,8,11
Toadette,Roadster Royale,9,12,8,11
Toadette,B Dasher,9,12,8,11
Toadette,Bumble V,9,12,8,11
Toadette,Carpet Flyer,9,12,8,11
Toadette,Cloud 9,9,12,8,11
Toadette,Funky Dorrie,9,13,9,9
Toadette,Big Horn,10,10,10,10
Toadette,Billdozer,10,10,10,10
Toadette,W-Twin Chopper,10,11,7,12
Toadette,Rallygator,10,11,11,8
Toadette,Chargin' Truck,11,9,10,10
Toadette,Tiny Titan,11,9,10,10
Toadette,Li'l Dumpy,11,9,10,10
Toadette,Mecha Trike,11,9,10,10
Toadette,Bowser Bruiser,11,9,10,10
Toadette,Reel Racer,11,10,8,11
Toadette,Lobster Roller,11,10,11,8
Toadette,Junkyard Hog,11,11,9,9
Toadette,Stellar Sled,12,8,10,10
Koopa Troopa,Standard Bike,4,17,5,14
Koopa Troopa,Cute Scoot,4,17,5,14
Koopa Troopa,Tune Thumper,4,17,5,14
Koopa Troopa,Rally Bike,5,16,5,14
Koopa Troopa,Hyper Pipe,5,16,5,14
Koopa Troopa,Fin Twin,5,16,5,14
Koopa Troopa,Dolphin Dasher,5,16,5,14
Koopa Troopa,Pipe Frame,5,16,6,13
Koopa Troopa,Mach Rocket,6,15,5,14
Koopa Troopa,R.O.B. H.O.G.,6,15,5,14
Koopa Troopa,Biddybuggy,6,15,6,13
Koopa Troopa,Baby Blooper,7,14,6,13
Koopa Troopa,Loco Moto,7,14,6,13
Koopa Troopa,Standard Kart,8,13,7,12
Koopa Troopa,Plushbuggy,8,13,7,12
Koopa Troopa,Blastronaut III,8,14,8,10
Koopa Troopa,Dread Sled,9,11,8,12
Koopa Troopa,Rally Kart,9,12,8,11
Koopa Troopa,Zoom Buggy,9,12,8,11
Koopa Troopa,Hot Rod,9,12,8,11
Koopa Troopa,Ribbit Revster,9,12,8,11
Koopa Troopa,Roadster Royale,9,12,8,11
Koopa Troopa,B Dasher,9,12,8,11
Koopa Troopa,Bumble V,9,12,8,11
Koopa Troopa,Carpet Flyer,9,12,8,11
Koopa Troopa,Cloud 9,9,12,8,11
Koopa Troopa,Funky Dorrie,9,13,9,9
Koopa Troopa,Big Horn,10,10,10,10
Koopa Troopa,Billdozer,10,10,10,10
Koopa Troopa,W-Twin Chopper,10,11,7,12
Koopa Troopa,Rallygator,10,11,11,8
Koopa Troopa,Chargin' Truck,11,9,10,10
Koopa Troopa,Tiny Titan,11,9,10,10
Koopa Troopa,Li'l Dumpy,11,9,10,10
Koopa Troopa,Mecha Trike,11,9,10,10
Koopa Troopa,Bowser Bruiser,11,9,10,10
Koopa Troopa,Reel Racer,11,10,8,11
Koopa Troopa,Lobster Roller,11,10,11,8
Koopa Troopa,Junkyard Hog,11,11,9,9
Koopa Troopa,Stellar Sled,12,8,10,10
Shy Guy,Standard Bike,4,17,5,14
Shy Guy,Cute Scoot,4,17,5,14
Shy Guy,Tune Thumper,4,17,5,14
Shy Guy,Rally Bike,5,16,5,14
Shy Guy,Hyper Pipe,5,16,5,14
Shy Guy,Fin Twin,5,16,5,14
Shy Guy,Dolphin Dasher,5,16,5,14
Shy Guy,Pipe Frame,5,16,6,13
Shy Guy,Mach Rocket,6,15,5,14
Shy Guy,R.O.B. H.O.G.,6,15,5,14
Shy Guy,Biddybuggy,6,15,6,13
Shy Guy,Baby Blooper,7,14,6,13
Shy Guy,Loco Moto,7,14,6,13
Shy Guy,Standard Kart,8,13,7,12
Shy Guy,Plushbuggy,8,13,7,12
Shy Guy,Blastronaut III,8,14,8,10
Shy Guy,Dread Sled,9,11,8,12
Shy Guy,Rally Kart,9,12,8,11
Shy Guy,Zoom Buggy,9,12,8,11
Shy Guy,Hot Rod,9,12,8,11
Shy Guy,Ribbit Revster,9,12,8,11
Shy Guy,Roadster Royale,9,12,8,11
Shy Guy,B Dasher,9,12,8,11
Shy Guy,Bumble V,9,12,8,11
Shy Guy,Carpet Flyer,9,12,8,11
Shy Guy,Cloud 9,9,12,8,11
Shy Guy,Funky Dorrie,9,13,9,9
Shy Guy,Big Horn,10,10,10,10
Shy Guy,Billdozer,10,10,10,10
Shy Guy,W-Twin Chopper,10,11,7,12
Shy Guy,Rallygator,10,11,11,8
Shy Guy,Chargin' Truck,11,9,10,10
Shy Guy,Tiny Titan,11,9,10,10
Shy Guy,Li'l Dumpy,11,9,10,10
Shy Guy,Mecha Trike,11,9,10,10
Shy Guy,Bowser Bruiser,11,9,10,10
Shy Guy,Reel Racer,11,10,8,11
Shy Guy,Lobster Roller,11,10,11,8
Shy Guy,Junkyard Hog,11,11,9,9
Shy Guy,Stellar Sled,12,8,10,10
Lakitu,Standard Bike,4,17,5,14
Lakitu,Cute Scoot,4,17,5,14
Lakitu,Tune Thumper,4,17,5,14
Lakitu,Rally Bike,5,16,5,14
Lakitu,Hyper Pipe,5,16,5,14
Lakitu,Fin Twin,5,16,5,14
Lakitu,Dolphin Dasher,5,16,5,14
Lakitu,Pipe Frame,5,16,6,13
Lakitu,Mach Rocket,6,15,5,14
Lakitu,R.O.B. H.O.G.,6,15,5,14
Lakitu,Biddybuggy,6,15,6,13
Lakitu,Baby Blooper,7,14,6,13
Lakitu,Loco Moto,7,14,6,13
Lakitu,Standard Kart,8,13,7,12
Lakitu,Plushbuggy,8,13,7,12
Lakitu,Blastronaut III,8,14,8,10
Lakitu,Dread Sled,9,11,8,12
Lakitu,Rally Kart,9,12,8,11
Lakitu,Zoom Buggy,9,12,8,11
Lakitu,Hot Rod,9,12,8,11
Lakitu,Ribbit Revster,9,12,8,11
Lakitu,Roadster Royale,9,12,8,11
Lakitu,B Dasher,9,12,8,11
Lakitu,Bumble V,9,12,8,11
Lakitu,Carpet Flyer,9,12,8,11
Lakitu,Cloud 9,9,12,8,11
Lakitu,Funky Dorrie,9,13,9,9
Lakitu,Big Horn,10,10,10,10
Lakitu,Billdozer,10,10,10,10
Lakitu,W-Twin Chopper,10,11,7,12
Lakitu,Rallygator,10,11,11,8
Lakitu,Chargin' Truck,11,9,10,10
Lakitu,Tiny Titan,11,9,10,10
Lakitu,Li'l Dumpy,11,9,10,10
Lakitu,Mecha Trike,11,9,10,10
Lakitu,Bowser Bruiser,11,9,10,10
Lakitu,Reel Racer,11,10,8,11
Lakitu,Lobster Roller,11,10,11,8
Lakitu,Junkyard Hog,11,11,9,9
Lakitu,Stellar Sled,12,8,10,10
Nabbit,Standard Bike,4,17,5,14
Nabbit,Cute Scoot,4,17,5,14
Nabbit,Tune Thumper,4,17,5,14
Nabbit,Rally Bike,5,16,5,14
Nabbit,Hyper Pipe,5,16,5,14
Nabbit,Fin Twin,5,16,5,14
Nabbit,Dolphin Dasher,5,16,5,14
Nabbit,Pipe Frame,5,16,6,13
Nabbit,Mach Rocket,6,15,5,14
Nabbit,R.O.B. H.O.G.,6,15,5,14
Nabbit,Biddybuggy,6,15,6,13
Nabbit,Baby Blooper,7,14,6,13
Nabbit,Loco Moto,7,14,6,13
Nabbit,Standard Kart,8,13,7,12
Nabbit,Plushbuggy,8,13,7,12
Nabbit,Blastronaut III,8,14,8,10
Nabbit,Dread Sled,9,11,8,12
Nabbit,Rally Kart,9,12,8,11
Nabbit,Zoom Buggy,9,12,8,11
Nabbit,Hot Rod,9,12,8,11
Nabbit,Ribbit Revster,9,12,8,11
Nabbit,Roadster Royale,9,12,8,11
Nabbit,B Dasher,9,12,8,11
Nabbit,Bumble V,9,12,8,11
Nabbit,Carpet Flyer,9,12,8,11
Nabbit,Cloud 9,9,12,8,11
Nabbit,Funky Dorrie,9,13,9,9
Nabbit,Big Horn,10,10,10,10
Nabbit,Billdozer,10,10,10,10
Nabbit,W-Twin Chopper,10,11,7,12
Nabbit,Rallygator,10,11,11,8
Nabbit,Chargin' Truck,11,9,10,10
Nabbit,Tiny Titan,11,9,10,10
Nabbit,Li'l Dumpy,11,9,10,10
Nabbit,Mecha Trike,11,9,10,10
Nabbit,Bowser Bruiser,11,9,10,10
Nabbit,Reel Racer,11,10,8,11
Nabbit,Lobster Roller,11,10,11,8
Nabbit,Junkyard Hog,11,11,9,9
Nabbit,Stellar Sled,12,8,10,10
Cheep Cheep,Standard Bike,4,17,5,14
Cheep Cheep,Cute Scoot,4,17,5,14
Cheep Cheep,Tune Thumper,4,17,5,14
Cheep Cheep,Rally Bike,5,16,5,14
Cheep Cheep,Hyper Pipe,5,16,5,14
Cheep Cheep,Fin Twin,5,16,5,14
Cheep Cheep,Dolphin Dasher,5,16,5,14
Cheep Cheep,Pipe Frame,5,16,6,13
Cheep Cheep,Mach Rocket,6,15,5,14
Cheep Cheep,R.O.B. H.O.G.,6,15,5,14
Cheep Cheep,Biddybuggy,6,15,6,13
Cheep Cheep,Baby Blooper,7,14,6,13
Cheep Cheep,Loco Moto,7,14,6,13
Cheep Cheep,Standard Kart,8,13,7,12
Cheep Cheep,Plushbuggy,8,13,7,12
Cheep Cheep,Blastronaut III,8,14,8,10
Cheep Cheep,Dread Sled,9,11,8,12
Cheep Cheep,Rally Kart,9,12,8,11
Cheep Cheep,Zoom Buggy,9,12,8,11
Cheep Cheep,Hot Rod,9,12,8,11
