speed,acceleration,weight,handling,driver,vehicle
9,12,8,11,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby, Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin, Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey, Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor","Rally Kart, Zoom Buggy, Hot Rod, Ribbit Revster, Roadster Royale, B Dasher, Bumble V, Carpet Flyer, Cloud 9, Standard Kart, Plushbuggy, Baby Blooper, Loco Moto, Mach Rocket, R.O.B. H.O.G."
9,13,9,9,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby, Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin","Funky Dorrie, Blastronaut III"
10,10,10,10,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby","Big Horn, Billdozer"
10,11,11,8,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby",Rallygator
11,9,10,10,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby, Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey","Chargin' Truck, Tiny Titan, Li'l Dumpy, Mecha Trike, Bowser Bruiser, Dread Sled"
11,10,8,11,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby, Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin","Reel Racer, W-Twin Chopper"
11,10,11,8,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby",Lobster Roller
11,11,9,9,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby",Junkyard Hog
12,8,10,10,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby",Stellar Sled
6,15,7,12,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin, Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey","Pipe Frame, Standard Bike, Cute Scoot, Tune Thumper"
7,14,7,12,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin, Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey","Biddybuggy, Rally Bike, Hyper Pipe, Fin Twin, Dolphin Dasher"
10,11,9,10,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin, Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey, Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Rally Kart, Zoom Buggy, Hot Rod, Ribbit Revster, Roadster Royale, B Dasher, Bumble V, Carpet Flyer, Cloud 9, Standard Kart, Plushbuggy, Baby Blooper, Loco Moto, Mach Rocket, R.O.B. H.O.G."
10,12,10,8,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin, Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey","Funky Dorrie, Blastronaut III"
11,9,11,9,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin","Big Horn, Billdozer"
11,10,12,7,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin",Rallygator
12,8,11,9,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin, Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor","Chargin' Truck, Tiny Titan, Li'l Dumpy, Mecha Trike, Bowser Bruiser, Dread Sled"
12,9,9,10,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin, Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey","Reel Racer, W-Twin Chopper"
12,9,12,7,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin",Lobster Roller
12,10,10,8,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin",Junkyard Hog
13,7,11,9,"Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin",Stellar Sled
7,14,8,11,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey, Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor","Pipe Frame, Standard Bike, Cute Scoot, Tune Thumper"
8,13,8,11,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey, Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor","Biddybuggy, Rally Bike, Hyper Pipe, Fin Twin, Dolphin Dasher"
11,10,10,9,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey, Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Rally Kart, Zoom Buggy, Hot Rod, Ribbit Revster, Roadster Royale, B Dasher, Bumble V, Carpet Flyer, Cloud 9, Standard Kart, Plushbuggy, Baby Blooper, Loco Moto"
11,11,11,7,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey, Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor","Funky Dorrie, Blastronaut III"
12,8,12,8,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey","Big Horn, Billdozer"
12,9,13,6,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey",Rallygator
13,7,12,8,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Chargin' Truck, Tiny Titan, Li'l Dumpy, Mecha Trike, Bowser Bruiser, Dread Sled"
13,8,10,9,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey, Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor","Reel Racer, W-Twin Chopper"
13,8,13,6,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey",Lobster Roller
13,9,11,7,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey",Junkyard Hog
14,6,12,8,"Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey",Stellar Sled
8,13,9,10,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Pipe Frame, Standard Bike, Cute Scoot, Tune Thumper"
9,12,9,10,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Biddybuggy, Rally Bike, Hyper Pipe, Fin Twin, Dolphin Dasher"
12,9,11,8,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Rally Kart, Zoom Buggy, Hot Rod, Ribbit Revster, Roadster Royale, B Dasher, Bumble V, Carpet Flyer, Cloud 9, Standard Kart, Plushbuggy"
12,10,12,6,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Funky Dorrie, Blastronaut III"
13,7,13,7,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor, Bowser","Big Horn, Billdozer, Rally Kart, Zoom Buggy, Hot Rod, Ribbit Revster, Roadster Royale, B Dasher, Bumble V, Carpet Flyer, Cloud 9"
13,8,14,5,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor, Bowser","Rallygator, Funky Dorrie"
14,6,13,7,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor","Chargin' Truck, Tiny Titan, Li'l Dumpy, Mecha Trike, Bowser Bruiser"
14,7,11,8,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Reel Racer, W-Twin Chopper"
14,7,14,5,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor",Lobster Roller
14,8,12,6,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor",Junkyard Hog
15,5,13,7,"Rosalina, Pauline, King Boo, Piranha Plant, Snowman, Cataquack, Conkdor",Stellar Sled
13,8,12,7,"Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Rally Kart, Zoom Buggy, Hot Rod, Ribbit Revster, Roadster Royale, B Dasher, Bumble V, Carpet Flyer, Cloud 9"
13,9,13,5,"Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta",Funky Dorrie
14,6,14,6,"Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Big Horn, Billdozer"
14,7,15,4,"Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta",Rallygator
15,5,14,6,"Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Chargin' Truck, Tiny Titan, Li'l Dumpy, Mecha Trike, Bowser Bruiser"
15,6,12,7,"Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta",Reel Racer
15,6,15,4,"Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta",Lobster Roller
15,7,13,5,"Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta",Junkyard Hog
16,4,14,6,"Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta",Stellar Sled
10,10,8,12,"Baby Peach, Baby Daisy, Para-Biddybud, Swoop",Stellar Sled
16,3,15,6,Bowser,Stellar Sled
